city_id,store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,hours_sale_json,hours_stock_status_json,holiday_name,city_name,store_name
0,0,3,11,62,182,548,2022-01-11,0.3,0,0.967,0,1,2.0339,16.55,79.62,1.23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-12,0.2,0,0.87,0,1,1.4163,16.21,77.21,1.23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-13,0.1,0,1.0,0,0,3.8433,17.06,77.5,1.7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-14,0.4,3,0.885,0,1,2.2487,17.08,75.7,1.92,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-15,0.3,7,0.846,0,1,2.8229,17.47,78.42,1.83,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-16,0.4,0,0.95,0,0,4.729,17.38,80.31,1.58,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-17,0.6,8,0.911,1,1,1.9464,17.7,81.07,1.71,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",Labor Day,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-18,0.6,7,0.901,1,1,3.4433,17.14,78.34,1.72,"[0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Columbus Day,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-19,0.4,0,0.913,0,1,2.439,17.86,76.31,1.65,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-20,0.4,5,1.0,0,0,3.0607,17.94,74.45,1.65,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
0,0,3,11,62,182,548,2022-01-21,0.6,0,0.901,0,1,0.9412,18.03,74.65,1.73,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"{'name': 'New York', 'state': 'NY', 'region': 'Northeast'}","{'name': 'Downtown Market', 'format': 'Supermarket', 'size': 'Large'}"
